Team,Goals,Shots,Shots_On_Target,Possession,Corners
Arsenal,49,338,122,55,149
Aston Villa,34,322,98,51,110
Bournemouth,44,396,138,47,113
Brentford,43,285,118,47,90
Brighton,37,348,114,53,80
Chelsea,46,397,133,59,99
Crystal Palace,28,345,119,44,67
Everton,24,274,87,40,54
Fulham,37,353,116,53,54
Ipswich,225,79,40,75
Leicester,25,228,72,46,60
Liverpool,60,420,56,58,100
Man City,51,411,148,61,88
Man Utd,27,332,108,54,70
Newcastle,41,339,107,51,93
Nottingham Forest,40,315,112,40,57
Southampton,18,240,75,51,70
Tottenham,46,367,132,57,86
West Ham,28,341,93,47,58
Wolves,35,270,107,47,51